Name,EvolutionStage,WebCardID,ImageURL,CardType,HP,Attribute,Ability,AbilityDesc,Skill1Name,Skill1Cost,Skill1Damage,Skill1Effect,Skill2Name,Skill2Cost,Skill2Damage,Skill2Effect,Weakness,WeaknessType,Resistance,ResistanceType,RetreatCost,CollectorNumber,Rarity,Mark,Expansion,ExpansionCode,Illustrator,PokemonInfo,Evolution,Subtypes,Tier,Score,ScoreBreakdown,PrimaryEffectType,SpecialEffectType
紅蓮鎧騎,1階進化,12097,https://asia.pokemon-card.com/hk/card-img/hk00012097.png,寶可夢,140,Fire,,,烈焰,"Colorless,Colorless",50,,紅蓮引爆,"Fire,Fire,Colorless",,將這隻寶可夢身上附加的【火】能量卡全部丟棄，對手的1隻備戰寶可夢受到180點傷害。[在備戰區不計算弱點・抵抗力。],,Water,,,2,21,normal,H,擴充包「超電突圍」,SV8,DOM,身上包裹著受到超能力<br/>和火焰能量強化的鎧甲。<br/>會釋放熾熱的火球。,炭小侍 → 紅蓮鎧騎 → 蒼炎刃鬼 → 蒼炎刃鬼ex → 紅蓮鎧騎ex,,A,17.00,Base:5.0|Meta:0.0|Exp:3.0|Func:6.0|Syn:2.0|Eff:0.0|Dmg:1.0|Mod:1.00,"能量操作, 連鎖傷害",丟棄效果
暴鯉龍ex,1階進化,8306,https://asia.pokemon-card.com/hk/card-img/hk00008306.png,寶可夢,300,Water,,,攀瀑,"Water,Water,Water",100,,暴君尾,"Water,Water,Water,Colorless,Colorless",180+,若對手的戰鬥寶可夢身上放置有傷害指示物，則增加180點傷害。,,Lightning,,,4,14,normal,G,擴充包「朱ex」,SV1S,5ban Graphics,,鯉魚王 → 暴鯉龍ex → 暴鯉龍 → 暴鯉龍GX,"太晶,ex",A,17.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:6.0|Mod:1.00,"傷害指示物, 條件傷害",無
磨牙彩皮魚,基礎,8309,https://asia.pokemon-card.com/hk/card-img/hk00008309.png,寶可夢,100,Water,,,多彩充能,Water,,從自己的牌庫選擇最多3張基本能量卡，在給對手看過後加入手牌。並且重洗牌庫。,飛濺,"Water,Colorless",60,,,Lightning,,,1,17,normal,G,擴充包「朱ex」,SV1S,kurumitsu,會用力磨牙刺激大腦，然後從頭部的突起物發射<br/>藉其產生的精神力量。,磨牙彩皮魚,,B+,15.00,Base:5.0|Meta:0.0|Exp:2.0|Func:6.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,"抽卡效果, 搜索效果",無
磨牙彩皮魚,基礎,11938,https://asia.pokemon-card.com/hk/card-img/hk00011938.png,寶可夢,110,Water,反擊,這隻寶可夢在戰鬥場受到對手的寶可夢招式的傷害時，在使用招式的寶可夢身上放置3個傷害指示物。,咬緊,"Water,Colorless",50,在下個對手的回合，受到這個招式的寶可夢無法撤退。,,,,,,Lightning,,,1,12,normal,H,強化擴充包「樂園騰龍」,SV7a,Shibuzoh.,磨牙時會泛起波紋。當陽光<br/>反射在上面時，周圍的水會<br/>閃起令人目眩神迷的亮光。,磨牙彩皮魚,,B,11.00,Base:5.0|Meta:0.0|Exp:3.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"傷害指示物, 撤退封鎖",撤退效果
海地鼠,基礎,8310,https://asia.pokemon-card.com/hk/card-img/hk00008310.png,寶可夢,50,Water,,,扭打,Water,10,擲1次硬幣若為正面，則在下個對手的回合，這隻寶可夢不會受到招式的傷害與效果的影響。,,,,,,Lightning,,,1,18,normal,G,擴充包「朱ex」,SV1S,Shin Nagasawa,就算身處於２０公尺外，牠都能嗅出輕身鱈散發出<br/>的氣味，躲進沙子裡面藏身。,海地鼠 → 三海地鼠 → 三海地鼠ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"傷害防禦, 效果免疫, 硬幣判定",無
海地鼠,基礎,8311,https://asia.pokemon-card.com/hk/card-img/hk00008311.png,寶可夢,60,Water,,,挖一下,Colorless,,擲1次硬幣若為正面，則將對手的牌庫上方1張卡丟棄。,衝撞,"Colorless,Colorless",20,,,Lightning,,,1,19,normal,G,擴充包「朱ex」,SV1S,Tika Matsuno,就算身處於２０公尺外，牠都能嗅出輕身鱈散發出<br/>的氣味，躲進沙子裡面藏身。,海地鼠 → 三海地鼠 → 三海地鼠ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,硬幣判定,丟棄效果
海地鼠,基礎,9981,https://asia.pokemon-card.com/hk/card-img/hk00009981.png,寶可夢,50,Water,,,亂爆頭錘,Water,10×,擲3次硬幣，造成正面出現的次數×10點傷害。,,,,,,Lightning,,,1,23,normal,G,擴充包「古代咆哮」,SV4K,Shibuzoh.,就算身處於２０公尺外，牠都能嗅出輕身鱈散發出<br/>的氣味，躲進沙子裡面藏身。,海地鼠 → 三海地鼠 → 三海地鼠ex,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"傷害效果, 硬幣判定",無
海地鼠,基礎,9982,https://asia.pokemon-card.com/hk/card-img/hk00009982.png,寶可夢,60,Water,,,震動,"Water,Colorless",30,,,,,,,Lightning,,,1,24,normal,G,擴充包「古代咆哮」,SV4K,Tomokazu Komiya,就算身處於２０公尺外，牠都能嗅出輕身鱈散發出<br/>的氣味，躲進沙子裡面藏身。,海地鼠 → 三海地鼠 → 三海地鼠ex,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
海地鼠,基礎,10818,https://asia.pokemon-card.com/hk/card-img/hk00010818.png,寶可夢,60,Water,,,挖到寶,Water,,從自己的牌庫選擇1張物品卡，在給對手看過後加入手牌。並且重洗牌庫。,水炸彈,"Water,Water",40,這隻寶可夢也受到20點傷害。,,Lightning,,,1,21,normal,H,擴充包「狂野之力」,SV5K,OKUBO,就算身處於２０公尺外，牠都能嗅出輕身鱈散發出<br/>的氣味，躲進沙子裡面藏身。,海地鼠 → 三海地鼠 → 三海地鼠ex,,B,12.00,Base:5.0|Meta:0.0|Exp:2.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"反噬傷害, 抽卡效果, 搜索效果",無
三海地鼠,1階進化,8312,https://asia.pokemon-card.com/hk/card-img/hk00008312.png,寶可夢,90,Water,,,頭錘,Water,30,,掘海隧道,"Colorless,Colorless,Colorless",,擲3次硬幣，將對手的牌庫上方與正面出現的次數×3張相同數量的卡丟棄。,,Lightning,,,2,20,normal,G,擴充包「朱ex」,SV1S,KIYOTAKA OSHIYAMA,有別於外表，性格非常粗暴。會用長長的身體勒緊獵物，<br/>然後拖進自己的巢穴裡。,海地鼠 → 三海地鼠 → 三海地鼠ex,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,硬幣判定,丟棄效果
三海地鼠,1階進化,9983,https://asia.pokemon-card.com/hk/card-img/hk00009983.png,寶可夢,90,Water,臨場選擇,在自己的回合，從手牌使出這張卡並完成進化時，可使用1次。從自己的牌庫選擇最多3張「寶可夢道具」卡，在給對手看過後加入手牌。並且重洗牌庫。,三連鞭,"Water,Water",70×,擲3次硬幣，造成正面出現的次數×70點傷害。,,,,,,Lightning,,,2,25,normal,G,擴充包「古代咆哮」,SV4K,Kouki Saitou,有別於外表，性格非常粗暴。會用長長的身體勒緊獵物，<br/>然後拖進自己的巢穴裡。,海地鼠 → 三海地鼠 → 三海地鼠ex,,S,23.00,Base:5.0|Meta:0.0|Exp:2.0|Func:10.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"傷害效果, 抽卡效果, 搜索效果, 硬幣判定, 道具移除",進化效果
三海地鼠,1階進化,9253,https://asia.pokemon-card.com/hk/card-img/hk00009253.png,寶可夢,90,Water,,,纏繞榨取,Water,50,在下個對手的回合，受到這個招式的寶可夢無法撤退。,,,,,,Lightning,,,1,31,normal,G,ex初階牌組,SVD,Akira Komayama,有別於外表，性格非常粗暴。會用長長的身體勒緊獵物，<br/>然後拖進自己的巢穴裡。,海地鼠 → 三海地鼠 → 三海地鼠ex,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,撤退封鎖,撤退效果
沙奈朵ex,2階進化,8320,https://asia.pokemon-card.com/hk/card-img/hk00008320.png,寶可夢,310,Psychic,精神擁抱,在自己的回合時，可不限次數使用。從自己的棄牌區選擇1張「基本【超】能量」卡，附於自己的【超】寶可夢身上。然後，在附上那張卡的寶可夢身上放置2個傷害指示物。（這個特性無法對會【昏厥】的寶可夢使用。）,奇跡之力,"Psychic,Psychic,Colorless",190,將這隻寶可夢的特殊狀態全部恢復。,[ex規則],,,寶可夢【ex】【昏厥】時，對手獲得2張獎賞卡。,,Darkness,,Fighting,2,28,normal,G,擴充包「朱ex」,SV1S,N-DESIGN Inc.,,拉魯拉絲 → 奇魯莉安 → 沙奈朵ex → 沙奈朵 → 艾路雷朵 → 沙奈朵GX,ex,A,19.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:5.0|Mod:1.00,"傷害指示物, 搜索效果, 棄牌區傷害加成, 狀態恢復, 獎賞控制, 能量操作",特性效果
咚咚鼠,基礎,8323,https://asia.pokemon-card.com/hk/card-img/hk00008323.png,寶可夢,70,Psychic,,,咬能量,Psychic,30,擲1次硬幣若為正面，則選擇1個對手的戰鬥寶可夢身上附加的能量，將其丟棄。,,,,,,Metal,,,1,31,normal,G,擴充包「朱ex」,SV1S,zig,由於體型嬌小，發電器官尚未發達，因此會用尾巴<br/>吸取住家的電力來充電。,咚咚鼠,,B+,15.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:2.0|Eff:0.0|Dmg:1.0|Mod:1.00,"硬幣判定, 能量操作",丟棄效果
咚咚鼠,基礎,12131,https://asia.pokemon-card.com/hk/card-img/hk00012131.png,寶可夢,70,Psychic,,,電磁聲納,Colorless,,從自己的棄牌區選擇1張訓練家卡，在給對手看過後加入手牌。,咬,Psychic,30,,,Metal,,,1,55,normal,H,擴充包「超電突圍」,SV8,Uninori,會從雙頰上的鬍鬚發出電波<br/>來與同伴相互聯絡。<br/>電力變少時會蜷縮起來睡覺。,咚咚鼠,,B,12.00,Base:5.0|Meta:0.0|Exp:3.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,搜索效果,無
咚咚鼠,基礎,8501,https://asia.pokemon-card.com/hk/card-img/hk00008501.png,寶可夢,70,Psychic,,,咬住傷口,"Psychic,Colorless",30+,增加對手的戰鬥寶可夢身上放置的傷害指示物的數量×10點傷害。,,,,,,Metal,,,1,5,normal,G,起始組合ex 潤水鴨&謎擬Ｑ ex,SVAW,Nelnal,由於體型嬌小，發電器官尚未發達，因此會用尾巴<br/>吸取住家的電力來充電。,咚咚鼠,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,"備戰傷害加成, 傷害指示物",無
咚咚鼠,基礎,9833,https://asia.pokemon-card.com/hk/card-img/hk00009833.png,寶可夢,70,Psychic,,,小使者,Psychic,,從自己的牌庫選擇最多2張基本能量卡，在給對手看過後加入手牌。並且重洗牌庫。,旋轉迴旋,"Psychic,Colorless",50,將這隻寶可夢與備戰寶可夢互換。,,Metal,,,1,9,normal,G,起始組合 太晶 超夢ex,SVEM,Tika Matsuno,由於體型嬌小，發電器官尚未發達，因此會用尾巴<br/>吸取住家的電力來充電。,咚咚鼠,,A,17.00,Base:5.0|Meta:0.0|Exp:2.0|Func:9.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,"切換效果, 抽卡效果, 搜索效果",無
狗仔包,基礎,8324,https://asia.pokemon-card.com/hk/card-img/hk00008324.png,寶可夢,50,Psychic,,,後踢,"Colorless,Colorless",20,,,,,,,Metal,,,1,32,normal,G,擴充包「朱ex」,SV1S,Mizue,摸起來既濕潤又絲滑。吐出的氣息裡含有酵母，<br/>可以使周圍的東西發酵。,狗仔包 → 麻花犬 → 麻花犬ex,,C,7.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
狗仔包,基礎,8325,https://asia.pokemon-card.com/hk/card-img/hk00008325.png,寶可夢,60,Psychic,,,Q彈Q彈,Psychic,,在下個對手的回合，這隻寶可夢受到招式的傷害「-30」點。,活蹦亂跳,"Psychic,Colorless,Colorless",30,,,Metal,,,2,33,normal,G,擴充包「朱ex」,SV1S,Saya Tsuruta,摸起來既濕潤又絲滑。吐出的氣息裡含有酵母，<br/>可以使周圍的東西發酵。,狗仔包 → 麻花犬 → 麻花犬ex,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,其他效果,無
狗仔包,基礎,11836,https://asia.pokemon-card.com/hk/card-img/hk00011836.png,寶可夢,60,Psychic,,,香味,Colorless,,從自己的牌庫選擇1張【基礎】寶可夢卡，放置於備戰區。並且重洗牌庫。,踩,Colorless,10,,,Metal,,,2,45,normal,H,擴充包「星晶奇跡」,SV7,Narumi Sato,吐出的氣息中含有酵母，<br/>能在製作料理時派上用場，<br/>因此自古以來就受到人們保護。,狗仔包 → 麻花犬 → 麻花犬ex,,C+,10.00,Base:5.0|Meta:0.0|Exp:3.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,搜索效果,放置效果
麻花犬,1階進化,8326,https://asia.pokemon-card.com/hk/card-img/hk00008326.png,寶可夢,90,Psychic,焦香之軀,這隻寶可夢不會受到對手的【火】寶可夢招式的傷害，不會【灼傷】。,魯莽頭擊,"Psychic,Colorless,Colorless",100,,,,,,,Metal,,,1,34,normal,G,擴充包「朱ex」,SV1S,You Iribi,身體散發出的迷人香氣能有助於小麥的成長，因此<br/>一直都備受農村人家的珍視。,狗仔包 → 麻花犬 → 麻花犬ex,,B,12.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,"傷害防禦, 效果免疫",無
飄飄雛,基礎,8327,https://asia.pokemon-card.com/hk/card-img/hk00008327.png,寶可夢,40,Psychic,,,迴轉攻擊,Colorless,20,,,,,,,Darkness,,Fighting,1,35,normal,G,擴充包「朱ex」,SV1S,Tika Matsuno,從肚子的褶邊放射出的精神力量，能夠讓牠浮在腳尖和地面<br/>距離僅有區區１公分的空中。,飄飄雛 → 超能豔鴕 → 超能豔鴕ex,,C,7.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,無,無
飄飄雛,基礎,8328,https://asia.pokemon-card.com/hk/card-img/hk00008328.png,寶可夢,40,Psychic,,,小衝刺,Psychic,10,將這隻寶可夢與備戰寶可夢互換。,,,,,,Darkness,,Fighting,1,36,normal,G,擴充包「朱ex」,SV1S,Pani Kobayashi,從肚子的褶邊放射出的精神力量，能夠讓牠浮在腳尖和地面<br/>距離僅有區區１公分的空中。,飄飄雛 → 超能豔鴕 → 超能豔鴕ex,,C+,10.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:0.0|Mod:1.00,切換效果,無
飄飄雛,基礎,10207,https://asia.pokemon-card.com/hk/card-img/hk00010207.png,寶可夢,30,Psychic,,,念力,"Psychic,Colorless",20,擲1次硬幣若為正面，則將對手的戰鬥寶可夢【麻痺】。,,,,,,Darkness,,Fighting,1,93,normal,G,高級擴充包「閃色寶藏ex」,SV4a,kawayoo,從肚子的褶邊放射出的精神力量，能夠讓牠浮在腳尖和地面<br/>距離僅有區區１公分的空中。,飄飄雛 → 超能豔鴕 → 超能豔鴕ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"狀態異常, 硬幣判定",無
飄飄雛,基礎,10055,https://asia.pokemon-card.com/hk/card-img/hk00010055.png,寶可夢,40,Psychic,,,電光一閃,Psychic,10+,擲1次硬幣若為正面，則增加20點傷害。,,,,,,Darkness,,Fighting,1,31,normal,G,擴充包「未來閃光」,SV4M,Mizue,會在荒地跑來跑去生活。如果最喜歡的樹果被搶走，就會窮追不捨地展開報復。,飄飄雛 → 超能豔鴕 → 超能豔鴕ex,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"條件傷害, 硬幣判定",無
飄飄雛,基礎,10056,https://asia.pokemon-card.com/hk/card-img/hk00010056.png,寶可夢,50,Psychic,,,精神強念,"Psychic,Psychic",10+,增加對手的戰鬥寶可夢身上附加的能量的數量×10點傷害。,,,,,,Darkness,,Fighting,1,32,normal,G,擴充包「未來閃光」,SV4M,kodama,會在荒地跑來跑去生活。如果最喜歡的樹果被搶走，就會窮追不捨地展開報復。,飄飄雛 → 超能豔鴕 → 超能豔鴕ex,,B+,14.00,Base:5.0|Meta:0.0|Exp:2.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,"備戰傷害加成, 能量操作",無
飄飄雛,基礎,11948,https://asia.pokemon-card.com/hk/card-img/hk00011948.png,寶可夢,40,Psychic,,,躍起閃避,Colorless,10,擲1次硬幣若為正面，則在下個對手的回合，這隻寶可夢不會受到招式的傷害與效果的影響。,,,,,,Darkness,,Fighting,1,22,normal,H,強化擴充包「樂園騰龍」,SV7a,buchi,會在荒地跑來跑去生活。<br/>如果最喜歡的樹果被搶走，<br/>就會窮追不捨地展開報復。,飄飄雛 → 超能豔鴕 → 超能豔鴕ex,,B,12.00,Base:5.0|Meta:0.0|Exp:3.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:0.0|Mod:1.00,"傷害防禦, 效果免疫, 硬幣判定",無
路卡利歐,1階進化,8333,https://asia.pokemon-card.com/hk/card-img/hk00008333.png,寶可夢,130,Fighting,,,復仇關節,Fighting,30+,在上個對手的回合，若自己的【鬥】寶可夢因招式的傷害而【昏厥】了，則增加120點傷害。,加速突刺,"Fighting,Colorless,Colorless",120,在下個自己的回合，這隻寶可夢無法使用「加速突刺」。,,Psychic,,,2,41,normal,G,擴充包「朱ex」,SV1S,Nurikabe,只要透過捕捉波導，據說就能夠看見原本<br/>看不見身影的對手。,利歐路 → 路卡利歐 → 路卡利歐GX → 路卡利歐ex,,B+,15.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:4.0|Mod:1.00,"招式鎖定, 昏厥條件, 條件傷害",無
摔角鷹人,基礎,8337,https://asia.pokemon-card.com/hk/card-img/hk00008337.png,寶可夢,70,Fighting,飛身進場,在自己的回合，從手牌將這張卡放置於備戰區時，可使用1次。在對手的2隻備戰寶可夢身上，各放置1個傷害指示物。,翅膀攻擊,"Fighting,Colorless,Colorless",70,,,,,,,Psychic,,,1,45,normal,G,擴充包「朱ex」,SV1S,GOSSAN,使用翅膀輕盈地跳起後，華麗地置對手於死地的招式<br/>是在出生的森林磨練出來的。,摔角鷹人,,B,12.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:2.0|Mod:1.00,傷害指示物,放置效果
摔角鷹人,基礎,11163,https://asia.pokemon-card.com/hk/card-img/hk00011163.png,寶可夢,70,Fighting,,,獎賞反擊,"Fighting,Fighting",50+,若自己剩餘獎賞卡的張數，比對手剩餘獎賞卡的張數多，則增加90點傷害。,,,,,,Psychic,,,1,46,normal,H,強化擴充包「緋紅薄霧」,SV5a,Shigenori Negishi,不集結成群，過著靜靜的生活。 天敵是喜歡集體大鬧的火爆猴，<br/> 時不時就會起爭執。,摔角鷹人,,B+,14.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:3.0|Mod:1.00,"條件傷害, 獎賞控制",無
摔角鷹人,基礎,12719,https://asia.pokemon-card.com/hk/card-img/hk00012719.png,寶可夢,80,Colorless,,,上升衝撞,Colorless,10+,若對手的戰鬥寶可夢為「寶可夢【ex】」，則增加50點傷害。,,,,,,Lightning,,Fighting,1,111,normal,H,雙ex初階牌組 Generations,SVM,KEIICHIRO ITO,不集結成群，過著靜靜的生活。<br/>天敵是喜歡集體大鬧的火爆猴，<br/>時不時就會起爭執。,摔角鷹人,,B,13.00,Base:5.0|Meta:0.0|Exp:2.0|Func:2.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,條件傷害,無
沙包蛇,基礎,8338,https://asia.pokemon-card.com/hk/card-img/hk00008338.png,寶可夢,80,Fighting,,,擲泥,"Fighting,Colorless",30,,,,,,,Grass,,,2,46,normal,G,擴充包「朱ex」,SV1S,Kouki Saitou,頸部的囊袋就像氣球一樣能伸縮自如，而隨著不斷<br/>蛻皮，伸縮性會隨之增加。,沙包蛇 → 沙螺蟒,,C,8.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:1.0|Mod:1.00,無,無
沙螺蟒,1階進化,8339,https://asia.pokemon-card.com/hk/card-img/hk00008339.png,寶可夢,140,Fighting,,,火箭頭錘,"Fighting,Fighting,Colorless",120,,沙塵噴射,"Fighting,Fighting,Fighting,Colorless",,選擇2個這隻寶可夢身上附加的能量，將其丟棄。然後，將對手的戰鬥寶可夢與附加的卡，全部放回對手的牌庫並重洗。,,Grass,,,3,47,normal,G,擴充包「朱ex」,SV1S,Yuya Oka,會把身體伸長到極限後，用足以沖走大卡車的<br/>氣勢噴射出沙子。,沙包蛇 → 沙螺蟒,,A,19.00,Base:5.0|Meta:0.0|Exp:2.0|Func:6.0|Syn:2.0|Eff:0.0|Dmg:4.0|Mod:1.00,"搜索效果, 能量操作",丟棄效果
毛崖蟹,基礎,8340,https://asia.pokemon-card.com/hk/card-img/hk00008340.png,寶可夢,130,Fighting,,,夾住,"Fighting,Fighting",50,,腎上腺錘,"Fighting,Fighting,Fighting",130,將這隻寶可夢【混亂】。,,Grass,,,3,48,normal,G,擴充包「朱ex」,SV1S,nagimiso,會倒立在懸崖上等獵物上門，但由於那會讓牠的血液倒流，<br/>因此等不了太長的時間。,毛崖蟹,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:4.0|Mod:1.00,狀態異常,無
毛崖蟹,基礎,9876,https://asia.pokemon-card.com/hk/card-img/hk00009876.png,寶可夢,120,Fighting,,,歇斯底里之剪,"Colorless,Colorless",30+,若這隻寶可夢處於特殊狀態，則增加160點傷害。,煮沸壓制,"Fighting,Fighting",80,將這隻寶可夢【灼傷】。,,Grass,,,3,31,normal,G,強化擴充包「激狂駭浪」,SV3a,Yuya Oka,會倒立在懸崖上等獵物上門，但由於那會讓牠的血液倒流，<br/>因此等不了太長的時間。,毛崖蟹,,B,11.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:2.0|Mod:1.00,"其他效果, 條件傷害",無
毛崖蟹,基礎,13049,https://asia.pokemon-card.com/hk/card-img/hk00013049.png,寶可夢,120,Fighting,,,喀嚓鉗,"Colorless,Colorless",,擲2次硬幣，選擇與正面出現的次數相同數量的對手的戰鬥寶可夢身上附加的能量，將其丟棄。,頭突,"Fighting,Colorless,Colorless",100,,,Grass,,,3,55,normal,I,擴充包「對戰搭檔」,SV9,Shinya Komatsu,會倒立在懸崖上等獵物上門，<br/>但由於那會讓牠的血液倒流，<br/>因此等不了太長的時間。,毛崖蟹,,B+,16.00,Base:5.0|Meta:0.0|Exp:3.0|Func:5.0|Syn:0.0|Eff:0.0|Dmg:3.0|Mod:1.00,"硬幣判定, 能量操作",丟棄效果
雄偉牙ex,基礎,8341,https://asia.pokemon-card.com/hk/card-img/hk00008341.png,寶可夢,250,Fighting,,,岩盤崩裂,Fighting,40,將場上的競技場卡丟棄。,巨烈長牙,"Fighting,Fighting,Fighting",250,這隻寶可夢也受到50點傷害。,,Psychic,,,4,49,normal,G,擴充包「朱ex」,SV1S,5ban Graphics,,雄偉牙ex,ex,B+,15.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:2.0|Eff:0.0|Dmg:6.0|Mod:1.00,反噬傷害,競技場效果
雄偉牙ex,基礎,10226,https://asia.pokemon-card.com/hk/card-img/hk00010226.png,寶可夢,250,Fighting,搖碎,在自己的回合結束時，若這隻寶可夢在戰鬥場上，則一定要使用1次。將自己的牌庫上方5張卡丟棄。,偉大猛擊,"Fighting,Colorless,Colorless,Colorless",260,這個招式的傷害不計算對手的戰鬥寶可夢身上的附加效果。,,,,,,Psychic,,,4,112,normal,G,高級擴充包「閃色寶藏ex」,SV4a,kawayoo,,雄偉牙ex,ex,B+,16.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"其他效果, 無視弱點/效果",無
故勒頓ex,基礎,8342,https://asia.pokemon-card.com/hk/card-img/hk00008342.png,寶可夢,230,Fighting,恐龍嘶吼,在自己的回合時可使用1次，若使用，則回合結束。從自己的棄牌區選擇最多2張「基本【鬥】能量」卡，以任意方式附於自己的【鬥】屬性的【基礎】寶可夢身上。,瘋狂衝擊,"Fighting,Fighting,Colorless",220,在下個自己的回合，這隻寶可夢無法使用招式。,[ex規則],,,寶可夢【ex】【昏厥】時，對手獲得2張獎賞卡。,,Psychic,,,2,50,normal,G,擴充包「朱ex」,SV1S,aky CG Works,,故勒頓ex,ex,A,17.00,Base:5.0|Meta:0.0|Exp:2.0|Func:4.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"使用限制, 招式鎖定, 搜索效果, 獎賞控制",無
故勒頓ex,基礎,9290,https://asia.pokemon-card.com/hk/card-img/hk00009290.png,寶可夢,230,Fighting,,,分岔光束,Fighting,20,對手的2隻備戰寶可夢也各受到20點傷害。[在備戰區不計算弱點・抵抗力。],蓋亞壓制,"Fighting,Fighting,Colorless",230,這隻寶可夢也受到30點傷害。,,Psychic,,,2,68,normal,G,ex初階牌組,SVD,aky CG Works,,故勒頓ex,ex,B+,16.00,Base:5.0|Meta:0.0|Exp:2.0|Func:3.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"反噬傷害, 連鎖傷害",無
故勒頓ex,基礎,10949,https://asia.pokemon-card.com/hk/card-img/hk00010949.png,寶可夢,230,Dragon,,,復仇懲處,"Colorless,Colorless",20+,增加這隻寶可夢身上放置的傷害指示物的數量×10點傷害。,凱撒衝撞,"Fire,Fighting,Fighting",280,這隻寶可夢也受到60點傷害。,,,,,2,10,normal,H,起始組合「古代故勒頓ex」,SVHK,PLANETA Igarashi,,故勒頓ex,ex,B,13.00,Base:5.0|Meta:0.0|Exp:2.0|Func:0.0|Syn:0.0|Eff:0.0|Dmg:6.0|Mod:1.00,"備戰傷害加成, 傷害指示物, 反噬傷害",無
